epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,837.741,3.08773,0.95287,1.34437,0.40196,0.73235,0.45474,0.07421,3.43857,0.95798,1.00087,0.0012575,0.0012575,0.0012575
17,891.896,2.9975,0.98151,1.39176,0.3902,0.75123,0.45561,0.08261,3.39226,0.92829,0.84058,0.001208,0.001208,0.001208
18,943.613,2.9797,0.9495,1.3432,0.42078,0.74375,0.46545,0.08539,3.40423,0.93346,1.22795,0.0011585,0.0011585,0.0011585
19,996.735,3.02329,0.9277,1.34239,0.32131,0.51463,0.28966,0.04839,3.67449,0.99111,1.7291,0.001109,0.001109,0.001109
20,1050.67,3.06411,0.94143,1.38942,0.36459,0.75452,0.44474,0.08129,3.38581,0.90363,1.13175,0.0010595,0.0010595,0.0010595
21,1116.76,3.0065,0.94029,1.37487,0.37371,0.7225,0.44583,0.08363,3.36277,0.94252,0.99364,0.00101,0.00101,0.00101
22,1169.44,3.01489,0.93566,1.33514,0.37219,0.74548,0.43725,0.08139,3.36587,0.91774,0.85113,0.0009605,0.0009605,0.0009605
23,1238.94,2.95503,0.90479,1.28541,0.39424,0.74112,0.45099,0.07835,3.43254,0.89377,0.8582,0.000911,0.000911,0.000911
24,1303.16,2.90716,0.93155,1.33545,0.39483,0.74457,0.44894,0.07597,3.42361,0.90097,0.94397,0.0008615,0.0008615,0.0008615
25,1365.42,2.89097,0.92917,1.37087,0.38879,0.71182,0.44618,0.0735,3.46171,0.91884,0.90771,0.000812,0.000812,0.000812
26,1429.66,2.86715,0.91383,1.34797,0.37913,0.78736,0.48022,0.08481,3.38827,0.87578,0.95526,0.0007625,0.0007625,0.0007625
27,1499.05,2.96958,0.91158,1.26412,0.3861,0.77711,0.47288,0.081,3.3587,0.94225,0.88495,0.000713,0.000713,0.000713
28,1549.86,2.91113,0.92799,1.28263,0.41067,0.73071,0.48554,0.08512,3.38324,0.90951,0.89215,0.0006635,0.0006635,0.0006635
29,1616.52,2.87451,0.91891,1.24524,0.39104,0.76437,0.47991,0.08549,3.43598,0.87661,0.94128,0.000614,0.000614,0.000614
30,1676.35,3.00938,0.92907,1.2271,0.38162,0.71839,0.4293,0.07833,3.40892,0.92058,0.87429,0.0005645,0.0005645,0.0005645
31,1729.36,2.96233,0.92263,1.22825,0.39689,0.76601,0.46681,0.0878,3.385,0.89753,0.93562,0.000515,0.000515,0.000515
32,1787.14,2.91529,0.91659,1.24473,0.36257,0.77614,0.44797,0.08511,3.35772,0.89399,0.85919,0.0004655,0.0004655,0.0004655
33,1849.51,2.84849,0.91438,1.3579,0.40021,0.74056,0.4523,0.08065,3.34859,0.90172,0.81584,0.000416,0.000416,0.000416
34,1900.5,2.89353,0.90619,1.21423,0.38249,0.73974,0.46404,0.08453,3.37199,0.90452,0.83378,0.0003665,0.0003665,0.0003665
35,1970.2,2.90909,0.90499,1.21684,0.3898,0.73399,0.43569,0.07796,3.35321,0.91225,0.81208,0.000317,0.000317,0.000317
36,2030.4,2.85992,0.92321,1.28223,0.41411,0.76929,0.48801,0.08773,3.342,0.89089,0.87648,0.0002675,0.0002675,0.0002675
37,2083,2.7874,0.93463,1.27474,0.38834,0.76273,0.46883,0.08644,3.35126,0.90295,0.79962,0.000218,0.000218,0.000218
38,2134.62,2.93902,0.9108,1.14376,0.39734,0.77504,0.49528,0.09036,3.3414,0.90603,0.86536,0.0001685,0.0001685,0.0001685
39,2202.9,2.8296,0.92375,1.27813,0.40005,0.77833,0.48761,0.08767,3.36348,0.90788,0.85513,0.000119,0.000119,0.000119
40,2254.92,2.80536,0.91707,1.22242,0.41254,0.77504,0.49883,0.09199,3.33456,0.90165,0.81681,6.95e-05,6.95e-05,6.95e-05
