epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0109,2.73854,1.53148,2.63051,0,0,0,0,7.16987,2.59158,5.76703,0.000649573,0.000649573,0.000649573
2,105.889,4.22561,1.59957,2.56196,0.07472,0.37192,0.05209,0.00806,3.81436,2.05843,1.57049,0.00128366,0.00128366,0.00128366
3,156.695,3.57705,1.25964,1.91951,0.3322,0.49425,0.2682,0.04675,3.59477,1.26431,1.40962,0.00188475,0.00188475,0.00188475
4,207.123,3.41645,1.16182,1.79795,0.39033,0.6486,0.3953,0.06979,3.46405,1.04979,1.30451,0.0018515,0.0018515,0.0018515
5,258.123,3.28554,1.07491,1.71621,0.35866,0.53284,0.32463,0.05849,3.55954,1.04284,1.48239,0.001802,0.001802,0.001802
6,308.901,3.23793,1.0497,1.61288,0.39132,0.62726,0.38576,0.06608,3.42351,1.06017,1.0708,0.0017525,0.0017525,0.0017525
7,361.805,3.20404,1.03811,1.52907,0.31906,0.52818,0.30005,0.05562,3.53724,1.13729,1.73585,0.001703,0.001703,0.001703
8,412.244,3.07959,1.00502,1.56253,0.35903,0.39409,0.2769,0.04908,3.61968,1.3472,1.53575,0.0016535,0.0016535,0.0016535
9,466.304,3.01481,0.98715,1.55,0.33868,0.66223,0.34083,0.05822,3.5172,1.02854,1.04629,0.001604,0.001604,0.001604
10,517.933,3.04977,1.00041,1.56845,0.1731,0.22496,0.0954,0.01433,4.08607,1.7559,3.33605,0.0015545,0.0015545,0.0015545
11,569.576,3.06448,0.98036,1.45531,0.35851,0.633,0.3544,0.06453,3.50191,0.93182,1.39413,0.001505,0.001505,0.001505
12,623.345,3.11189,0.96822,1.37788,0.26808,0.41133,0.21012,0.03291,3.76974,1.39836,1.82488,0.0014555,0.0014555,0.0014555
13,681.713,3.02807,0.94883,1.40993,0.42398,0.69869,0.45051,0.07786,3.42803,0.93903,1.0203,0.001406,0.001406,0.001406
14,732.542,3.00403,0.95679,1.42851,0.26027,0.45467,0.20543,0.03694,3.78945,0.99869,1.70302,0.0013565,0.0013565,0.0013565
15,783.929,3.01528,0.94839,1.42538,0.33766,0.54105,0.31894,0.05601,3.56232,1.08861,1.81781,0.001307,0.001307,0.001307
